VR14 Skåne läns norra och östra valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;848;4715;10061;21312;43582
VR14 Skåne läns norra och östra valkrets;övriga partier;206;496;1425;591;432;703;20591;5624;4075;2435;5194;2107;4935
VR14 Skåne läns norra och östra valkrets;ogiltiga valsedlar;252;446;877;1683;1699;2526;3293;3180;4653;3454;3732;2726;2264
VR14 Skåne läns norra och östra valkrets;ej röstande;17856;16900;19498;18971;23556;32867;32028;32708;46313;49864;45450;39393;36183
VR15 Hallands läns valkrets;Moderaterna;19459;23325;33385;40628;36273;30781;39975;43405;40510;29264;53257;67878;57261
VR15 Hallands läns valkrets;Centerpartiet;50137;51393;41436;37239;29510;28225;22554;21595;13748;15908;18589;17178;17367
VR15 Hallands läns valkrets;Folkpartiet;10220;15084;15521;9181;24877;20709;15004;11371;7088;23415;13798;15286;11807
VR15 Hallands läns valkrets;Kristdemokraterna;1252;1073;1229;2025;0;3307;11540;6343;21038;16720;11987;10994;8988
VR15 Hallands läns valkrets;Miljöpartiet;0;0;0;2707;2705;9046;5299;7971;6479;6578;7236;11568;12184
VR15 Hallands läns valkrets;Socialdemokraterna;49103;51762;53792;58925;61291;59882;52920;68924;52185;60295;56747;52319;58562
VR15 Hallands läns valkrets;Vänsterpartiet;3533;3448;4490;5013;4599;5434;4316;7255;14042;9995;7110;6904;7785
VR15 Hallands läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;556;1759;5223;10507;26555
VR15 Hallands läns valkrets;övriga partier;382;286;469;166;239;345;13111;3877;8403;4313;5523;2931;6050
VR15 Hallands läns valkrets;ogiltiga valsedlar;209;455;925;1683;1473;2129;3146;2883;4328;3021;3746;2519;2099
VR15 Hallands läns valkrets;ej röstande;11785;11434;13515;12844;16089;23331;22432;23654;34912;38859;36196;31807;29744
VR16 Göteborgs kommuns valkrets;Moderaterna;46166;50674;69904;78625;62325;55214;67603;69283;67998;47586;78679;96981;79768
VR16 Göteborgs kommuns valkrets;Centerpartiet;44560;46080;27022;21965;14242;12972;8508;7994;4375;5115;13076;12183;12696
VR16 Göteborgs kommuns valkrets;Folkpartiet;53368;52827;45800;27800;57730;46299;32743;26137;17404;49187;29981;26829;24136
VR16 Göteborgs kommuns valkrets;Kristdemokraterna;2977;2583;2454;3912;0;7060;19733;11804;31704;23519;19698;19484;15389
VR16 Göteborgs kommuns valkrets;Miljöpartiet;0;0;0;5794;5216;21341;12251;16202;15040;17657;24694;34205;32868
VR16 Göteborgs kommuns valkrets;Socialdemokraterna;108075;112916;106274;116653;113270;100938;89658;109186;77241;90547;84693;80543;79167
VR16 Göteborgs kommuns valkrets;Vänsterpartiet;23641;23482;28023;28710;26013;24523;18454;23817;39280;32405;25407;27246;31272
VR16 Göteborgs kommuns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;1403;4311;7455;15608;32240
VR16 Göteborgs kommuns valkrets;övriga partier;3984;1803;3467;2432;3773;3627;21456;7407;8736;2729;9043;6223;26758
VR16 Göteborgs kommuns valkrets;ogiltiga valsedlar;419;1889;2735;2802;2654;4122;5467;4317;5468;4433;4615;3156;2662
VR16 Göteborgs kommuns valkrets;ej röstande;35246;32133;36371;31615;36759;50373;46041;47640;71753;80390;76495;67363;69895
VR17 Västra Götalands läns västra valkrets;Moderaterna;24500;27151;38160;47197;39783;32824;43195;44807;41380;29467;54970;73853;60129
VR17 Västra Götalands läns västra valkrets;Centerpartiet;40488;45153;35395;30558;24319;21207;16221;14688;8509;10556;15135;13563;14091
VR17 Västra Götalands läns västra valkrets;Folkpartiet;26114;28454;27196;17394;37468;31064;22662;18077;10758;31260;19937;20194;16134
VR17 Västra Götalands läns västra valkrets;Kristdemokraterna;2209;1864;2137;3653;0;6604;17081;10255;29206;22831;18101;16525;13486
VR17 Västra Götalands läns västra valkrets;Miljöpartiet;0;0;0;3263;3329;12271;6908;11257;8575;8409;10086;15794;15971
VR17 Västra Götalands läns västra valkrets;Socialdemokraterna;61139;65809;67460;75513;77075;73744;65706;86079;64784;72450;66705;59477;63552
VR17 Västra Götalands läns västra valkrets;Vänsterpartiet;6588;6473;7765;8634;8553;9320;7741;11904;22101;15389;10877;10506;12132
VR17 Västra Götalands läns västra valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;1078;3069;6074;12504;31401
VR17 Västra Götalands läns västra valkrets;övriga partier;545;165;972;451;599;937;16342;4677;5668;2385;5833;2621;8049
VR17 Västra Götalands läns västra valkrets;ogiltiga valsedlar;185;652;1020;1453;1489;2365;3511;3148;4267;3140;3932;2754;2499
VR17 Västra Götalands läns västra valkrets;ej röstande;16929;15946;18504;17626;21330;30164;28127;28542;41383;45809;41656;36875;34926
VR18 Västra Götalands läns norra valkrets;Moderaterna;18028;20611;29218;35601;30319;24265;31559;31391;28117;18860;34427;46582;35979
VR18 Västra Götalands läns norra valkrets;Centerpartiet;43498;47153;36952;32269;27152;24546;18242;16627;10181;11915;14471;11449;12335
VR18 Västra Götalands läns norra valkrets;Folkpartiet;17115;19509;19338;12393;27182;21045;15164;11835;6863;19200;12095;13393;9472
VR18 Västra Götalands läns norra valkrets;Kristdemokraterna;2651;2248;2393;3309;0;5543;15375;8715;23828;18203;13123;11092;9099
VR18 Västra Götalands läns norra valkrets;Miljöpartiet;0;0;0;2554;2585;10014;5284;9562;7612;6687;7789;12003;11219
VR18 Västra Götalands läns norra valkrets;Socialdemokraterna;58258;61029;63481;69461;70275;66949;59476;75632;57002;64050;62574;56060;58289
VR18 Västra Götalands läns norra valkrets;Vänsterpartiet;4856;4627;6356;6920;6914;7840;6753;10178;20219;13298;9386;9907;9895
VR18 Västra Götalands läns norra valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;857;2169;4532;10513;27027
VR18 Västra Götalands läns norra valkrets;övriga partier;369;166;335;174;295;343;13648;3215;2613;1286;4035;1861;5738
VR18 Västra Götalands läns norra valkrets;ogiltiga valsedlar;157;472;726;1171;1280;1855;2869;2511;3360;2756;3116;2310;1906
VR18 Västra Götalands läns norra valkrets;ej röstande;13944;13074;14839;14092;17360;25005;23263;23601;33832;37626;34737;30158;28508
VR19 Västra Götalands läns södra valkrets;Moderaterna;21385;22467;26419;30318;26140;20923;24109;25002;22144;15218;27238;34334;27795
VR19 Västra Götalands läns södra valkrets;Centerpartiet;32874;33734;26672;23741;20474;17432;13507;12763;7781;8790;10726;9273;9423
VR19 Västra Götalands läns södra valkrets;Folkpartiet;8611;11174;11792;6787;16838;12970;9641;7249;4004;11951;7373;8883;6145
VR19 Västra Götalands läns södra valkrets;Kristdemokraterna;1782;1431;1719;2339;0;4197;11390;5372;16775;13546;9093;7745;6376
VR19 Västra Götalands läns södra valkrets;Miljöpartiet;0;0;0;1702;1366;5890;3259;6029;5079;4224;4488;7315;7534
