region;parti mm;1973;2014
0482 Flen;ej röstande;800;1747
0483 Katrineholm;Moderaterna;2205;4064
0483 Katrineholm;Centerpartiet;5027;1356
0483 Katrineholm;Folkpartiet;1888;906
0483 Katrineholm;Kristdemokraterna;503;745
0483 Katrineholm;Miljöpartiet;0;1278
0483 Katrineholm;Socialdemokraterna;11133;8432
0483 Katrineholm;Vänsterpartiet;491;999
0483 Katrineholm;Sverigedemokraterna;0;3054
0483 Katrineholm;övriga partier;76;517
0483 Katrineholm;ogiltiga valsedlar;26;209
0483 Katrineholm;ej röstande;1735;3518
0484 Eskilstuna;Moderaterna;5674;13052
0484 Eskilstuna;Centerpartiet;10989;2624
0484 Eskilstuna;Folkpartiet;6080;2680
0484 Eskilstuna;Kristdemokraterna;866;2206
0484 Eskilstuna;Miljöpartiet;0;3721
0484 Eskilstuna;Socialdemokraterna;28902;21722
0484 Eskilstuna;Vänsterpartiet;2502;3284
0484 Eskilstuna;Sverigedemokraterna;0;10170
0484 Eskilstuna;övriga partier;229;1758
0484 Eskilstuna;ogiltiga valsedlar;89;734
0484 Eskilstuna;ej röstande;5131;11764
0486 Strängnäs;Moderaterna;2131;6307
0486 Strängnäs;Centerpartiet;3382;1198
0486 Strängnäs;Folkpartiet;1630;1188
0486 Strängnäs;Kristdemokraterna;209;1068
0486 Strängnäs;Miljöpartiet;0;1282
0486 Strängnäs;Socialdemokraterna;5913;6017
0486 Strängnäs;Vänsterpartiet;423;1003
0486 Strängnäs;Sverigedemokraterna;0;3225
0486 Strängnäs;övriga partier;53;601
0486 Strängnäs;ogiltiga valsedlar;19;239
0486 Strängnäs;ej röstande;1101;3248
0488 Trosa;Moderaterna;0;2576
0488 Trosa;Centerpartiet;0;511
0488 Trosa;Folkpartiet;0;409
0488 Trosa;Kristdemokraterna;0;341
0488 Trosa;Miljöpartiet;0;525
0488 Trosa;Socialdemokraterna;0;2124
0488 Trosa;Vänsterpartiet;0;278
0488 Trosa;Sverigedemokraterna;0;973
0488 Trosa;övriga partier;0;246
0488 Trosa;ogiltiga valsedlar;0;71
0488 Trosa;ej röstande;0;956
0509 Ödeshög;Moderaterna;480;652
0509 Ödeshög;Centerpartiet;1472;332
0509 Ödeshög;Folkpartiet;260;94
0509 Ödeshög;Kristdemokraterna;166;354
0509 Ödeshög;Miljöpartiet;0;174
0509 Ödeshög;Socialdemokraterna;1477;1113
0509 Ödeshög;Vänsterpartiet;69;106
0509 Ödeshög;Sverigedemokraterna;0;615
0509 Ödeshög;övriga partier;8;96
0509 Ödeshög;ogiltiga valsedlar;3;33
0509 Ödeshög;ej röstande;359;513
0512 Ydre;Moderaterna;304;453
0512 Ydre;Centerpartiet;1235;422
0512 Ydre;Folkpartiet;356;88
0512 Ydre;Kristdemokraterna;153;248
0512 Ydre;Miljöpartiet;0;110
0512 Ydre;Socialdemokraterna;750;747
0512 Ydre;Vänsterpartiet;51;83
